year,rank,country,gold,silver,bronz,total
1996,1,United States,44,32,25,101
1996,2,Russia,26,21,16,63
1996,3,Germany,20,18,27,65
1996,4,China,16,22,12,50
1996,5,France,15,7,15,37
1996,6,Italy,13,10,12,35
1996,7,Australia,9,9,23,41
1996,8,Cuba,9,8,8,25
1996,9,Ukraine,9,2,12,23
1996,10,South Korea,7,15,5,27
1996,11,Poland,7,5,5,17
1996,12,Hungary,7,4,10,21
1996,13,Spain,5,6,6,17
1996,14,Romania,4,7,9,20
1996,15,Netherlands,4,5,10,19
1996,16,Greece,4,4,0,8
1996,17,Czech Republic,4,3,4,11
1996,18,Switzerland,4,3,0,7
1996,19,Denmark,4,1,1,6
1996,19,Turkey,4,1,1,6
1996,21,Canada,3,11,8,22
1996,22,Bulgaria,3,7,5,15
1996,23,Japan,3,6,5,14
1996,24,Kazakhstan,3,4,4,11
1996,25,Brazil,3,3,9,15
1996,26,New Zealand,3,2,1,6
1996,27,South Africa,3,1,1,5
1996,28,Ireland,3,0,1,4
1996,29,Sweden,2,4,2,8
1996,30,Norway,2,2,3,7
1996,31,Belgium,2,2,2,6
1996,32,Nigeria,2,1,3,6
1996,33,North Korea,2,1,2,5
1996,34,Algeria,2,0,1,3
1996,34,Ethiopia,2,0,1,3
1996,36,Great Britain,1,8,6,15
1996,37,Belarus,1,6,8,15
1996,38,Kenya,1,4,3,8
1996,39,Jamaica,1,3,2,6
1996,40,Finland,1,2,1,4
1996,41,Indonesia,1,1,2,4
1996,41,Yugoslavia,1,1,2,4
1996,43,Iran,1,1,1,3
1996,43,Slovakia,1,1,1,3
1996,45,Armenia,1,1,0,2
1996,45,Croatia,1,1,0,2
1996,47,Portugal,1,0,1,2
1996,47,Thailand,1,0,1,2
1996,49,Burundi,1,0,0,1
1996,49,Costa Rica,1,0,0,1
1996,49,Ecuador,1,0,0,1
1996,49,Hong Kong,1,0,0,1
1996,49,Syria,1,0,0,1
1996,54,Argentina,0,2,1,3
1996,55,Namibia,0,2,0,2
1996,55,Slovenia,0,2,0,2
1996,57,Austria,0,1,2,3
1996,58,Malaysia,0,1,1,2
1996,58,Moldova,0,1,1,2
1996,58,Uzbekistan,0,1,1,2
1996,61,Azerbaijan,0,1,0,1
1996,61,Bahamas,0,1,0,1
1996,61,Chinese Taipei,0,1,0,1
1996,61,Latvia,0,1,0,1
1996,61,Philippines,0,1,0,1
1996,61,Tonga,0,1,0,1
1996,61,Zambia,0,1,0,1
1996,68,Georgia,0,0,2,2
1996,68,Morocco,0,0,2,2
1996,68,Trinidad and Tobago,0,0,2,2
1996,71,India,0,0,1,1
1996,71,Israel,0,0,1,1
1996,71,Lithuania,0,0,1,1
1996,71,Mexico,0,0,1,1
1996,71,Mongolia,0,0,1,1
1996,71,Mozambique,0,0,1,1
1996,71,Puerto Rico,0,0,1,1
1996,71,Tunisia,0,0,1,1
1996,71,Uganda,0,0,1,1
