year,rank,country,gold,silver,bronz,total
1992,1,Unified Team,45,38,29,112
1992,2,United States,37,34,37,108
1992,3,Germany,33,21,28,82
1992,4,China,16,22,16,54
1992,5,Cuba,14,6,11,31
1992,6,Spain,13,7,2,22
1992,7,South Korea,12,5,12,29
1992,8,Hungary,11,12,7,30
1992,9,France,8,5,16,29
1992,10,Australia,7,9,11,27
1992,11,Canada,7,4,7,18
1992,12,Italy,6,5,8,19
1992,13,Great Britain,5,3,12,20
1992,14,Romania,4,6,8,18
1992,15,Czechoslovakia,4,2,1,7
1992,16,North Korea,4,0,5,9
1992,17,Japan,3,8,11,22
1992,18,Bulgaria,3,7,6,16
1992,19,Poland,3,6,10,19
1992,20,Netherlands,2,6,7,15
1992,21,Kenya,2,4,2,8
1992,22,Norway,2,4,1,7
1992,23,Turkey,2,2,2,6
1992,24,Indonesia,2,2,1,5
1992,25,Brazil,2,1,0,3
1992,26,Greece,2,0,0,2
1992,27,Sweden,1,7,4,12
1992,28,New Zealand,1,4,5,10
1992,29,Finland,1,2,2,5
1992,30,Denmark,1,1,4,6
1992,31,Morocco,1,1,1,3
1992,32,Ireland,1,1,0,2
1992,33,Ethiopia,1,0,2,3
1992,34,Algeria,1,0,1,2
1992,34,Estonia,1,0,1,2
1992,34,Lithuania,1,0,1,2
1992,37,Switzerland,1,0,0,1
1992,38,Jamaica,0,3,1,4
1992,38,Nigeria,0,3,1,4
1992,40,Latvia,0,2,1,3
1992,41,Austria,0,2,0,2
1992,41,Namibia,0,2,0,2
1992,41,South Africa,0,2,0,2
1992,44,Belgium,0,1,2,3
1992,44,Croatia,0,1,2,3
1992,44,Independent Olympic Participants,0,1,2,3
1992,44,Iran,0,1,2,3
1992,48,Israel,0,1,1,2
1992,49,Chinese Taipei,0,1,0,1
1992,49,Mexico,0,1,0,1
1992,49,Peru,0,1,0,1
1992,52,Mongolia,0,0,2,2
1992,52,Slovenia,0,0,2,2
1992,54,Argentina,0,0,1,1
1992,54,Bahamas,0,0,1,1
1992,54,Colombia,0,0,1,1
1992,54,Ghana,0,0,1,1
1992,54,Malaysia,0,0,1,1
1992,54,Pakistan,0,0,1,1
1992,54,Philippines,0,0,1,1
1992,54,Puerto Rico,0,0,1,1
1992,54,Qatar,0,0,1,1
1992,54,Suriname,0,0,1,1
1992,54,Thailand,0,0,1,1
